Algorithm, p2, Avg(CC)
CBJ, 0.10000000149011612, 228.6999969482422
CBJ, 0.20000000298023224, 238.5500030517578
CBJ, 0.30000001192092896, 255.3000030517578
CBJ, 0.4000000059604645, 309.8999938964844
CBJ, 0.5, 425.04998779296875
CBJ, 0.6000000238418579, 561.3499755859375
CBJ, 0.699999988079071, 1061.300048828125
CBJ, 0.800000011920929, 1540.5999755859375
CBJ, 0.8999999761581421, 4979.10009765625
CBJ, 1.0, 2666.5
ABT, 0.10000000149011612, 22.049999237060547
ABT, 0.20000000298023224, 10.399999618530273
ABT, 0.30000001192092896, 13.550000190734863
ABT, 0.4000000059604645, 20.299999237060547
ABT, 0.5, 25.0
ABT, 0.6000000238418579, 37.95000076293945
ABT, 0.699999988079071, 83.69999694824219
ABT, 0.800000011920929, 817.0
ABT, 0.8999999761581421, 816.0
ABT, 1.0, 569.4000244140625
CBJDO2, 0.10000000149011612, 228.8000030517578
CBJDO2, 0.20000000298023224, 248.0
CBJDO2, 0.30000001192092896, 275.25
CBJDO2, 0.4000000059604645, 365.25
CBJDO2, 0.5, 385.75
CBJDO2, 0.6000000238418579, 522.9000244140625
CBJDO2, 0.699999988079071, 740.5999755859375
CBJDO2, 0.800000011920929, 1754.449951171875
CBJDO2, 0.8999999761581421, 4564.2998046875
CBJDO2, 1.0, 2673.25
